Series ID,A3348645F,A3348708C,A3348771V,A3348834T,A3348897A,A3348960F,A3349023F,A3349086R,A3348582J,A3348648L,A3348711T,A3348774A,A3348837X,A3348900C,A3348963L,A3349026L,A3349089W,A3348585R,A3348651A,A3348714X,A3348777J,A3348840L,A3348903K,A3348966V,A3349029V,A3349092K,A3348588W
Aug-2006,5081.5,4111.5,3413.8,1141.1,1802.1,359.7,179.3,313.0,16401.9,5248.2,4235.0,3393.0,1173.9,1837.5,370.4,163.2,322.0,16743.3,5264.0,4239.1,3384.0,1172.0,1848.6,370.6,164.0,323.4,16765.9
Sep-2006,5118.6,4059.4,3372.6,1134.5,1818.4,357.1,170.4,317.6,16348.7,5270.2,4247.9,3387.6,1177.8,1868.5,373.7,164.5,325.8,16816.0,5277.3,4253.5,3395.5,1179.4,1867.4,371.5,165.0,326.0,16835.7
Oct-2006,5352.2,4340.5,3478.8,1198.9,1914.5,369.4,170.1,331.2,17155.7,5312.0,4299.0,3412.1,1198.6,1899.8,372.6,166.0,330.5,16990.5,5295.8,4271.3,3408.2,1187.2,1888.5,372.0,166.2,328.2,16917.3
Nov-2006,5573.7,4500.3,3563.5,1252.9,2007.5,389.3,167.2,345.9,17800.4,5315.4,4281.4,3433.1,1194.5,1906.7,371.6,166.6,332.2,17001.5,5323.9,4293.0,3427.8,1195.8,1911.8,372.5,167.6,330.1,17022.3
Dec-2006,7014.5,5625.7,4355.5,1549.8,2496.6,482.8,189.6,428.5,22142.8,5348.2,4289.5,3421.3,1190.6,1927.3,371.3,170.1,331.3,17049.6,5359.6,4313.9,3455.6,1204.1,1935.4,373.4,169.0,331.8,17142.8
Jan-2007,5293.0,4208.0,3437.0,1190.0,1891.0,372.0,151.2,313.1,16855.2,5374.6,4333.4,3487.3,1209.2,1957.6,375.3,170.7,328.7,17236.7,5396.6,4331.3,3489.9,1212.1,1957.6,375.4,170.4,333.7,17266.9
Feb-2007,4791.5,3853.8,3069.9,1083.1,1746.9,345.3,144.4,296.5,15331.4,5439.2,4362.1,3544.1,1227.5,1981.3,378.7,172.0,335.5,17440.4,5430.2,4343.4,3528.8,1219.6,1976.5,378.5,171.8,335.8,17384.6
Mar-2007,5408.0,4332.8,3484.6,1238.0,1965.1,386.2,165.3,337.8,17317.7,5537.6,4389.3,3593.0,1242.3,2003.4,382.9,173.4,342.6,17664.6,5460.7,4351.7,3568.8,1225.8,1991.0,382.6,173.1,338.1,17491.7
Apr-2007,5187.5,4132.2,3317.9,1143.9,1889.5,362.0,160.0,321.4,16514.4,5479.6,4343.8,3603.9,1219.3,1999.8,384.5,172.4,338.6,17542.0,5492.9,4359.3,3607.2,1230.4,2001.4,387.1,174.5,340.3,17592.8
May-2007,5316.4,4239.7,3480.6,1199.5,1971.1,378.9,176.4,337.9,17100.4,5464.2,4329.2,3608.2,1227.9,2004.4,391.4,176.0,342.3,17543.6,5530.4,4370.1,3643.7,1234.2,2008.1,391.0,175.8,342.2,17695.0
Jun-2007,5321.7,4223.8,3582.1,1206.5,1942.5,378.2,185.1,344.4,17184.1,5545.9,4390.3,3697.9,1245.6,2013.4,398.7,179.8,346.3,17818.0,5573.7,4386.9,3678.9,1238.4,2013.5,393.6,177.2,343.6,17805.8
Jul-2007,5428.0,4244.9,3709.6,1201.9,1954.4,377.2,193.1,327.9,17437.0,5651.4,4413.6,3728.5,1240.1,2013.4,394.0,178.2,339.8,17959.1,5622.4,4411.9,3714.4,1244.7,2020.9,394.9,178.8,344.5,17933.7
Aug-2007,5538.0,4364.1,3755.4,1225.8,1993.6,389.7,197.6,337.3,17801.5,5687.3,4454.5,3720.5,1253.2,2024.5,396.7,179.7,346.1,18062.7,5670.5,4445.6,3749.8,1254.5,2031.0,395.3,180.8,345.2,18075.3
Sep-2007,5537.3,4265.4,3742.2,1195.6,1973.0,368.9,185.9,335.2,17603.5,5741.5,4489.3,3791.9,1265.1,2048.8,393.7,181.8,347.2,18259.2,5709.5,4483.1,3781.2,1267.5,2040.9,395.3,183.1,345.7,18210.1
Oct-2007,5784.4,4538.3,3903.3,1303.1,2066.5,394.5,190.6,349.8,18530.4,5732.5,4504.4,3814.3,1284.3,2037.1,391.5,184.8,347.6,18296.6,5731.9,4518.7,3805.9,1282.2,2046.7,395.3,185.2,346.0,18316.2
Nov-2007,6027.4,4791.6,3985.0,1361.6,2176.9,415.6,188.4,360.5,19307.1,5727.8,4543.3,3833.9,1295.1,2073.2,394.8,187.7,345.4,18401.2,5736.9,4547.5,3822.7,1296.9,2047.3,395.5,187.1,346.3,18384.2
Dec-2007,7552.0,5978.5,4821.4,1674.5,2637.7,514.6,215.8,439.1,23833.7,5759.7,4577.7,3829.2,1309.3,2058.1,401.1,193.5,344.5,18473.1,5733.4,4570.2,3833.8,1310.5,2044.7,396.2,188.5,347.0,18427.0
Jan-2008,5666.2,4528.2,3803.2,1323.9,1981.7,397.9,167.5,332.5,18201.0,5697.9,4617.1,3830.0,1332.4,2022.9,399.5,187.7,346.9,18434.4,5728.4,4583.8,3838.1,1321.8,2041.2,397.3,189.4,347.9,18449.0
Feb-2008,5216.4,4184.1,3449.7,1230.3,1848.0,375.9,164.3,322.6,16791.4,5718.8,4565.6,3836.2,1336.0,2017.6,394.8,188.5,350.8,18408.2,5723.5,4586.6,3837.0,1331.1,2041.1,398.8,190.1,348.9,18457.1
Mar-2008,5513.5,4433.3,3681.3,1295.8,1973.5,392.2,176.2,342.1,17807.9,5717.2,4588.9,3854.3,1330.5,2046.5,397.2,188.7,349.7,18473.0,5718.3,4582.7,3835.8,1340.1,2047.4,400.9,191.0,349.8,18465.4
Apr-2008,5416.9,4379.4,3572.7,1288.4,1979.5,385.5,182.6,338.1,17543.0,5722.7,4573.3,3832.5,1344.2,2075.3,405.3,194.3,351.3,18498.9,5708.8,4575.7,3839.0,1349.8,2060.3,403.6,192.5,349.8,18479.0
May-2008,5588.5,4517.8,3734.9,1335.1,2058.9,400.8,197.0,350.5,18183.5,5704.8,4591.6,3839.8,1357.0,2073.0,409.1,195.3,351.0,18521.5,5692.2,4570.7,3847.2,1360.6,2076.5,406.7,194.6,348.9,18497.4
Jun-2008,5376.1,4313.1,3622.1,1292.3,1962.5,377.3,198.9,335.6,17477.9,5668.5,4511.2,3812.8,1373.5,2076.9,408.5,196.4,345.1,18392.9,5670.6,4572.3,3859.9,1371.4,2090.7,409.8,197.1,347.7,18519.7
Jul-2008,5498.5,4483.8,3965.5,1375.0,2105.3,405.7,219.9,337.5,18391.2,5659.8,4616.3,3926.8,1391.8,2124.8,414.9,199.5,347.6,18681.5,5647.4,4583.8,3876.0,1381.0,2098.2,412.5,199.7,346.8,18544.8
Aug-2008,5446.9,4477.7,3919.0,1345.7,2051.2,401.2,220.1,336.4,18198.2,5635.8,4618.9,3900.1,1387.2,2099.7,414.5,202.5,344.2,18603.1,5629.5,4603.1,3894.1,1387.7,2098.4,414.6,202.3,346.6,18575.1
Sep-2008,5371.9,4373.5,3862.6,1323.5,2021.4,390.9,211.2,330.2,17885.2,5573.7,4592.2,3901.3,1389.4,2097.8,414.4,205.6,346.3,18520.6,5627.8,4628.4,3911.8,1390.8,2093.7,416.3,204.8,347.5,18620.1
Oct-2008,5763.7,4774.8,4042.6,1430.5,2135.5,426.9,214.0,356.6,19144.5,5660.9,4670.3,3927.1,1392.6,2078.4,417.3,206.4,351.6,18704.6,5647.9,4659.3,3928.4,1391.3,2088.0,418.1,207.4,349.3,18690.6
Nov-2008,5945.4,4897.4,4050.0,1432.9,2143.1,433.3,207.8,368.6,19478.5,5681.6,4704.7,3936.8,1385.5,2071.9,419.9,209.7,351.3,18761.3,5689.3,4693.9,3944.8,1390.9,2082.8,420.2,210.1,351.6,18787.7
Dec-2008,7733.9,6379.8,5186.4,1854.0,2749.0,571.1,246.9,463.1,25184.3,5912.6,4889.4,4106.8,1441.6,2151.7,442.5,220.9,365.2,19530.6,5744.7,4729.4,3964.2,1391.0,2079.1,422.7,212.6,354.0,18905.8
Jan-2009,5990.9,4818.1,4064.0,1422.5,2110.0,430.5,195.5,353.0,19384.5,5959.1,4870.6,4073.4,1422.2,2130.1,428.8,217.4,363.9,19465.4,5804.5,4764.0,3987.4,1392.6,2078.3,425.3,214.3,356.0,19033.4
Feb-2009,5189.9,4244.2,3453.3,1229.6,1842.4,391.6,182.3,320.6,16853.8,5899.5,4827.6,3996.3,1395.6,2086.8,427.9,216.2,362.2,19212.1,5860.1,4796.7,4011.8,1395.8,2081.5,428.0,215.3,357.9,19157.3
Mar-2009,5751.0,4804.1,3932.4,1389.9,2053.4,431.8,210.6,354.6,18927.9,6026.1,4954.5,4136.3,1427.7,2143.7,442.1,224.7,363.9,19718.9,5907.3,4823.9,4032.7,1400.2,2088.5,430.5,215.5,359.7,19264.2
Apr-2009,5795.8,4770.4,3890.2,1374.9,2028.6,428.1,205.7,355.7,18849.3,6071.8,4958.3,4142.3,1434.1,2107.1,443.7,217.6,369.2,19744.2,5944.5,4847.9,4049.1,1405.0,2098.7,432.6,215.1,361.8,19354.6
May-2009,5943.7,4852.4,4038.8,1412.8,2129.3,429.8,217.6,373.1,19397.5,6123.1,4966.5,4187.7,1450.8,2173.2,445.8,219.3,374.0,19940.4,5972.7,4867.8,4060.4,1408.4,2110.0,434.5,214.6,364.1,19426.8
Jun-2009,5799.4,4717.1,3952.6,1373.2,2066.7,412.2,220.5,361.2,18902.9,6115.0,4952.2,4122.6,1441.0,2173.0,442.2,215.7,371.5,19833.1,5997.9,4884.3,4067.5,1411.0,2121.5,436.4,214.6,366.3,19490.6
Jul-2009,5884.7,4798.1,4109.8,1401.3,2134.2,432.4,240.0,360.0,19360.6,6040.9,4898.1,4062.5,1414.3,2151.2,438.1,217.2,370.6,19592.9,6030.2,4898.8,4073.1,1413.1,2132.3,438.5,215.3,368.3,19561.2
Aug-2009,5861.6,4745.9,4094.5,1357.5,2078.3,422.9,236.1,359.9,19156.7,6068.7,4918.5,4091.1,1413.8,2138.3,440.0,217.2,372.1,19659.6,6076.2,4914.3,4079.3,1415.7,2142.5,440.5,216.8,370.2,19650.1
Sep-2009,5852.2,4724.0,4045.1,1354.5,2059.2,417.3,221.9,356.1,19030.3,6057.2,4948.8,4076.7,1409.5,2128.1,441.0,216.7,370.6,19648.6,6128.9,4933.6,4088.2,1419.6,2152.1,442.2,218.7,371.7,19752.8
Oct-2009,6315.2,5001.0,4231.3,1454.2,2228.4,457.7,230.9,375.8,20294.6,6167.0,4888.9,4092.1,1413.3,2156.8,446.9,221.9,368.7,19755.6,6177.7,4952.9,4096.5,1423.6,2161.0,443.1,220.3,372.8,19848.4
Nov-2009,6603.4,5244.2,4195.0,1496.9,2232.7,457.5,220.0,390.5,20840.1,6301.9,5031.9,4111.2,1460.3,2183.8,444.9,223.0,377.3,20134.4,6212.2,4971.6,4100.7,1427.8,2170.0,442.9,221.5,374.0,19921.7
Dec-2009,8259.6,6542.1,5218.1,1827.9,2811.2,571.0,249.9,478.8,25958.5,6272.5,4964.8,4111.5,1415.7,2185.5,441.8,223.4,375.6,19990.8,6227.8,4989.5,4099.9,1432.7,2179.3,441.9,222.5,375.2,19969.4
Jan-2010,6229.9,4930.7,4049.3,1434.6,2154.7,431.7,195.6,365.6,19792.0,6243.0,5034.7,4102.5,1449.0,2190.7,436.1,220.9,376.3,20053.3,6228.1,5007.0,4093.7,1438.6,2186.9,440.9,223.5,376.4,19995.2
Feb-2010,5389.3,4403.5,3528.5,1257.3,1926.3,404.4,188.9,333.3,17431.5,6128.4,5024.9,4086.3,1430.2,2182.3,440.8,223.8,375.9,19892.4,6222.4,5025.4,4086.8,1445.5,2191.2,440.2,224.6,377.6,20013.7
Mar-2010,6038.6,4918.8,3925.1,1440.5,2135.8,442.0,214.6,374.9,19490.3,6221.8,5006.8,4047.0,1436.0,2184.0,438.4,224.9,379.3,19938.2,6224.7,5047.2,4084.0,1452.9,2191.9,439.7,225.6,378.6,20044.6
Apr-2010,5846.5,4847.3,3829.7,1403.2,2104.1,421.0,216.0,364.1,19032.0,6221.3,5087.3,4109.1,1483.7,2208.4,441.4,229.5,380.3,20161.0,6246.3,5074.9,4089.0,1459.7,2191.8,439.1,226.5,379.3,20106.6
May-2010,6087.5,4944.4,3927.7,1417.9,2133.7,422.3,225.4,374.5,19533.6,6301.9,5104.7,4086.4,1471.4,2189.8,441.2,227.0,378.2,20200.7,6283.6,5107.9,4101.4,1464.5,2193.1,438.1,227.4,379.6,20195.7
Jun-2010,6005.4,4896.5,3933.1,1398.0,2095.4,406.7,230.9,373.2,19339.1,6333.5,5140.2,4101.3,1462.8,2194.1,436.2,226.6,382.7,20277.3,6320.0,5142.7,4116.5,1466.0,2196.1,436.8,227.5,379.6,20285.0
Jul-2010,6215.9,5095.4,4242.8,1449.5,2179.7,427.4,252.5,368.6,20231.6,6348.1,5186.8,4166.5,1460.5,2187.6,432.8,226.3,377.7,20386.2,6340.6,5173.8,4129.5,1462.6,2199.2,435.5,226.6,379.3,20347.1
Aug-2010,6144.2,5016.8,4145.1,1398.9,2132.5,414.2,244.3,364.9,19860.8,6401.9,5198.2,4146.3,1453.4,2204.1,432.8,225.6,380.4,20442.8,6343.1,5198.8,4137.5,1456.4,2202.1,434.5,224.7,379.5,20376.5
Sep-2010,6174.6,5041.3,4123.5,1396.5,2170.8,411.9,235.2,362.6,19916.3,6336.7,5231.6,4144.4,1450.7,2228.3,432.4,227.5,376.8,20428.4,6335.7,5212.2,4140.8,1449.4,2206.5,433.6,222.5,380.4,20381.0
Oct-2010,6333.6,5262.2,4197.5,1475.4,2256.8,438.9,223.0,387.9,20575.4,6250.0,5184.8,4108.9,1449.6,2210.5,436.3,218.2,381.4,20239.6,6330.2,5211.4,4140.4,1444.5,2214.6,432.7,220.9,382.1,20376.8
Nov-2010,6621.3,5437.4,4263.7,1494.5,2281.2,451.2,215.1,399.3,21163.7,6314.6,5222.9,4143.5,1438.3,2216.4,434.5,216.1,385.6,20371.9,6332.3,5202.3,4140.3,1442.7,2227.2,431.4,220.6,383.9,20380.9
Dec-2010,8387.7,6952.0,5270.5,1846.1,2849.9,559.3,243.8,489.9,26599.2,6363.2,5240.9,4162.5,1427.6,2219.9,429.7,219.0,384.6,20447.4,6343.8,5193.9,4144.3,1443.0,2243.4,429.8,221.6,385.4,20405.6
Jan-2011,6343.8,5007.6,4074.3,1423.4,2221.6,415.1,199.4,378.6,20063.7,6370.4,5149.3,4152.1,1451.9,2273.4,422.0,224.4,391.0,20434.5,6355.5,5195.2,4155.2,1444.1,2262.8,428.1,223.7,386.0,20451.1
Feb-2011,5614.9,4513.7,3705.4,1272.1,2040.2,394.9,194.9,343.2,18079.3,6387.2,5155.4,4291.3,1449.9,2307.4,429.6,230.8,383.7,20635.3,6358.2,5209.8,4171.2,1444.2,2283.8,426.8,226.1,385.3,20505.9
Mar-2011,6136.0,5081.9,4004.6,1435.7,2254.5,423.6,219.4,378.1,19933.8,6355.2,5204.6,4165.3,1448.5,2303.2,425.4,229.4,382.2,20513.7,6348.8,5236.4,4189.0,1442.0,2305.5,426.3,228.0,383.7,20559.9
Apr-2011,6053.8,5140.5,4018.3,1390.6,2227.1,415.6,215.1,372.0,19833.0,6344.4,5349.1,4244.9,1440.8,2314.8,428.6,228.4,382.8,20733.7,6332.4,5267.4,4208.0,1437.6,2325.5,426.9,228.8,381.7,20608.7
May-2011,6038.9,5127.7,4068.0,1380.1,2269.0,408.2,224.8,371.3,19888.1,6301.9,5312.3,4233.6,1431.3,2340.6,428.1,227.6,379.7,20655.0,6320.7,5295.4,4226.9,1432.7,2343.1,428.6,228.9,380.3,20656.8
Jun-2011,5971.9,5078.4,4068.6,1349.0,2268.3,401.0,234.0,367.2,19738.3,6252.5,5298.0,4228.6,1416.2,2360.4,428.1,227.9,378.5,20590.1,6323.1,5313.5,4245.6,1429.5,2360.4,430.9,229.1,379.6,20711.7
Jul-2011,6161.2,5182.8,4285.9,1402.5,2347.1,421.0,252.4,366.8,20419.6,6355.4,5316.0,4252.3,1426.8,2387.3,432.3,229.8,377.9,20777.8,6342.1,5319.5,4261.0,1430.0,2378.6,433.4,229.8,379.5,20773.8
Aug-2011,6175.6,5142.0,4294.8,1393.3,2342.0,423.6,251.0,366.1,20388.3,6406.7,5321.9,4281.6,1436.0,2401.0,438.1,230.0,380.1,20895.5,6373.7,5318.0,4270.6,1434.0,2397.4,435.5,231.0,379.5,20839.6
Sep-2011,6255.1,5140.8,4298.1,1403.2,2346.2,421.0,241.8,369.6,20475.9,6407.4,5289.5,4293.7,1444.3,2397.6,439.2,232.9,383.2,20887.8,6405.2,5315.6,4276.6,1438.7,2414.8,436.6,232.1,379.7,20899.2
Oct-2011,6482.9,5378.4,4331.6,1455.3,2475.6,433.6,240.1,385.9,21183.4,6409.7,5343.2,4276.2,1444.9,2440.2,435.9,235.1,382.4,20967.5,6423.7,5317.0,4282.5,1442.4,2430.9,436.2,232.9,380.2,20945.9
Nov-2011,6781.2,5513.6,4428.6,1515.9,2547.3,453.6,232.8,391.2,21864.2,6454.2,5292.3,4304.6,1449.3,2459.9,436.7,235.1,375.5,21007.5,6424.8,5320.5,4291.3,1444.5,2447.2,434.9,233.3,381.4,20977.9
Dec-2011,8558.2,7119.7,5414.5,1869.2,3157.0,563.4,255.6,487.9,27425.4,6468.5,5360.7,4266.0,1447.2,2454.6,432.1,229.1,380.8,21039.0,6413.5,5320.9,4303.3,1445.8,2465.4,433.2,233.5,383.3,20998.8
Jan-2012,6317.7,5159.4,4230.3,1405.3,2412.3,420.7,208.1,375.8,20529.6,6381.4,5307.8,4312.7,1431.9,2480.2,426.6,234.4,389.7,20964.7,6405.4,5321.1,4322.4,1447.8,2486.3,431.9,234.0,386.0,21034.8
Feb-2012,5764.9,4796.1,3915.6,1319.8,2297.7,412.0,205.7,359.3,19071.2,6339.5,5299.7,4376.2,1452.2,2503.2,432.1,235.5,388.2,21026.7,6414.7,5324.3,4350.0,1451.2,2509.6,431.4,235.1,389.0,21105.3
Mar-2012,6271.1,5302.3,4259.0,1456.0,2517.6,438.0,229.0,395.1,20868.1,6421.6,5372.2,4384.0,1457.9,2541.7,433.6,236.8,394.6,21242.4,6443.9,5332.1,4382.5,1455.3,2533.3,431.2,236.8,392.1,21207.4
Apr-2012,6116.0,5024.6,4098.0,1385.9,2397.4,410.0,220.0,376.9,20028.9,6500.1,5293.6,4400.1,1467.0,2555.0,431.8,237.2,394.1,21278.6,6489.7,5344.6,4414.9,1459.1,2556.2,431.0,238.7,395.1,21329.3
May-2012,6350.6,5201.0,4306.5,1424.9,2547.8,413.4,240.2,388.6,20873.1,6557.3,5349.5,4434.0,1457.6,2589.8,428.8,240.2,396.2,21453.4,6542.5,5358.5,4443.8,1461.5,2578.3,430.0,240.2,397.7,21452.6
Jun-2012,6353.2,5195.4,4365.0,1404.9,2510.0,406.0,252.3,391.4,20878.1,6643.9,5415.0,4509.0,1467.6,2597.3,431.3,245.3,400.7,21710.1,6588.8,5368.2,4467.3,1461.5,2598.9,428.0,240.9,399.9,21553.5
Jul-2012,6337.6,5186.0,4465.2,1408.4,2517.1,407.1,263.1,380.0,20964.6,6609.7,5379.8,4471.4,1448.2,2605.7,423.2,240.7,396.8,21575.4,6615.9,5370.4,4484.2,1458.4,2617.7,425.1,240.9,401.4,21613.9
Aug-2012,6444.8,5271.5,4541.1,1428.2,2596.0,413.4,261.9,395.1,21352.0,6604.0,5359.4,4484.3,1456.8,2623.3,422.7,238.9,408.9,21598.2,6620.2,5363.2,4494.9,1453.5,2633.8,422.2,240.6,401.6,21629.9
Sep-2012,6434.3,5130.7,4458.2,1405.1,2577.8,396.3,244.7,393.2,21040.2,6635.6,5353.8,4514.1,1458.1,2658.9,422.1,238.5,404.1,21685.2,6613.1,5352.4,4502.9,1448.2,2646.4,420.1,240.3,400.6,21624.1
Oct-2012,6664.3,5350.9,4588.3,1461.4,2726.9,414.6,247.0,397.0,21850.4,6602.3,5324.5,4523.1,1440.3,2677.9,415.3,241.7,395.7,21620.8,6608.1,5344.6,4512.0,1443.1,2655.4,419.5,240.5,399.4,21622.7
Nov-2012,7003.2,5633.8,4675.8,1500.3,2775.7,436.2,239.1,416.0,22680.2,6597.4,5336.3,4500.5,1427.8,2652.7,415.5,239.2,399.2,21568.7,6613.7,5343.1,4525.6,1438.8,2660.2,420.0,241.1,398.9,21641.3
Dec-2012,8598.7,6969.2,5641.4,1814.6,3346.2,543.2,265.4,497.7,27676.4,6592.0,5341.4,4530.9,1435.9,2652.0,424.5,242.0,391.3,21610.0,6632.7,5350.4,4544.0,1435.5,2662.5,421.1,241.8,399.8,21687.8
Jan-2013,6647.5,5274.0,4516.7,1434.9,2601.0,425.0,220.9,390.6,21510.6,6648.3,5364.9,4553.0,1443.5,2652.8,424.9,245.9,403.2,21736.6,6661.5,5362.4,4564.7,1433.7,2664.4,422.0,242.0,402.3,21753.0
Feb-2013,5927.2,4748.3,4028.0,1258.2,2374.1,392.1,203.8,368.2,19299.8,6752.8,5407.4,4643.8,1431.2,2677.6,425.0,240.7,409.8,21988.3,6691.1,5374.0,4583.7,1433.8,2667.6,422.2,241.4,405.7,21819.6
Mar-2013,6531.4,5283.1,4439.8,1434.8,2650.5,427.1,230.0,413.9,21410.5,6711.5,5383.7,4578.2,1436.0,2678.8,421.9,241.7,411.1,21862.9,6714.7,5383.0,4599.7,1436.7,2672.6,421.9,240.6,409.0,21878.3
Apr-2013,6340.0,5106.1,4292.0,1359.1,2490.2,395.8,223.2,394.6,20601.1,6744.5,5366.6,4606.2,1436.4,2657.0,417.6,238.3,412.5,21879.2,6729.9,5390.2,4612.5,1442.5,2677.6,421.6,240.5,411.0,21925.8
May-2013,6542.1,5280.5,4512.4,1419.7,2674.5,410.6,240.7,400.5,21481.0,6739.9,5409.7,4625.4,1450.4,2705.4,422.7,240.3,409.5,22003.3,6739.0,5398.2,4623.9,1450.5,2679.3,422.3,241.5,411.8,21966.5
Jun-2013,6413.3,5154.2,4445.1,1376.1,2559.3,389.8,245.2,401.5,20984.5,6735.6,5412.4,4638.0,1453.3,2678.7,421.2,240.0,413.0,21992.3,6749.7,5411.8,4637.8,1459.9,2678.2,424.3,243.6,411.9,22017.3
Jul-2013,6480.5,5221.0,4649.2,1448.0,2590.2,417.8,273.7,393.8,21474.2,6738.8,5423.8,4639.7,1481.0,2666.9,430.4,248.3,410.6,22039.6,6768.8,5433.8,4656.5,1469.4,2677.5,427.9,246.4,412.2,22092.4
Aug-2013,6675.2,5387.6,4741.6,1453.0,2664.4,424.0,277.7,400.5,22024.0,6806.2,5454.4,4677.9,1479.3,2687.7,434.6,252.1,411.7,22204.0,6802.8,5465.2,4678.5,1477.0,2679.9,432.9,249.0,413.3,22198.2
Sep-2013,6604.1,5262.9,4632.1,1423.8,2563.7,409.0,258.4,397.9,21551.9,6876.8,5513.7,4714.0,1486.7,2665.3,435.7,252.5,414.0,22358.7,6851.7,5504.6,4700.3,1481.8,2687.0,438.6,250.8,414.8,22329.7
Oct-2013,7028.2,5618.7,4819.3,1505.5,2758.9,443.1,257.7,422.3,22853.7,6898.4,5532.4,4725.4,1472.3,2688.6,444.2,251.2,419.1,22431.6,6912.6,5546.7,4718.8,1484.4,2697.3,444.3,252.0,416.1,22472.8
Nov-2013,7393.5,5881.1,4914.0,1566.6,2860.6,467.7,251.5,436.1,23771.3,6961.6,5601.7,4737.8,1488.9,2725.6,447.2,252.0,414.9,22629.6,6982.8,5587.9,4734.4,1485.4,2707.7,449.5,252.7,416.6,22618.4
Dec-2013,9189.0,7356.6,5909.5,1879.1,3417.4,585.2,270.4,530.4,29137.6,7105.6,5669.9,4761.1,1489.4,2727.2,458.4,248.3,419.8,22879.8,7121.8,5672.8,4778.6,1485.6,2714.7,453.7,253.4,415.9,22899.5
Jan-2014,7237.4,5654.3,4787.3,1497.2,2681.9,468.0,233.9,400.6,22960.6,7227.3,5721.8,4791.2,1504.0,2715.0,461.0,259.2,413.6,23093.0,7183.3,5698.5,4787.7,1485.5,2715.7,456.6,254.4,413.8,22998.7
Feb-2014,6355.1,5033.2,4173.5,1312.8,2415.3,419.9,216.1,369.2,20295.0,7235.6,5720.4,4800.1,1492.3,2723.2,454.7,255.0,410.1,23091.5,7231.5,5714.0,4794.7,1485.8,2712.4,458.6,255.7,411.0,23066.2
Mar-2014,7045.2,5560.5,4596.0,1453.4,2624.7,454.3,243.9,408.2,22386.2,7298.7,5702.7,4801.4,1483.0,2690.0,458.0,256.6,409.6,23100.0,7265.9,5723.7,4799.8,1486.6,2708.3,459.9,256.8,408.4,23111.2
Apr-2014,6914.8,5492.2,4512.1,1426.3,2559.4,442.1,239.1,389.7,21975.8,7294.7,5753.9,4801.8,1485.7,2699.7,461.0,256.5,405.0,23158.2,7290.1,5734.1,4802.3,1488.8,2706.6,461.1,257.4,407.1,23148.2
May-2014,7078.5,5598.7,4694.4,1463.5,2676.0,446.9,260.7,401.4,22620.1,7255.5,5723.2,4806.0,1492.5,2706.0,460.6,259.2,406.2,23109.2,7312.7,5749.9,4802.2,1492.7,2710.0,462.3,257.5,407.5,23194.7
Jun-2014,6932.2,5464.0,4583.6,1408.7,2586.1,433.2,263.9,389.6,22061.3,7322.9,5756.1,4791.7,1496.1,2726.4,467.2,258.1,406.6,23225.2,7342.7,5772.5,4799.9,1499.4,2717.3,463.6,257.1,409.7,23262.0
Jul-2014,7178.3,5614.7,4841.7,1489.8,2661.2,451.1,280.3,400.2,22917.2,7417.6,5797.7,4807.5,1514.0,2727.2,464.0,254.1,415.9,23397.9,7382.8,5797.9,4796.1,1508.0,2726.1,464.3,256.7,413.7,23345.3
Aug-2014,7135.1,5685.7,4790.4,1472.7,2682.3,448.5,279.3,404.3,22898.2,7406.7,5851.7,4787.8,1514.1,2735.8,464.8,257.5,418.0,23436.2,7428.3,5821.0,4793.1,1517.3,2733.7,464.1,256.4,418.2,23432.2
Sep-2014,7330.2,5689.1,4768.1,1482.5,2669.2,443.6,263.8,410.8,23057.2,7542.0,5897.8,4820.7,1532.5,2757.1,468.0,255.7,425.6,23699.4,7527.6,5884.8,4816.0,1536.6,2755.9,466.6,256.2,424.2,23667.9
Oct-2014,7759.8,6023.4,4947.3,1589.9,2853.1,466.8,262.0,430.5,24332.7,7585.3,5897.2,4829.2,1550.6,2762.4,463.1,255.2,426.6,23769.6,7564.7,5899.2,4824.7,1544.2,2762.4,466.4,256.1,426.8,23744.4
Nov-2014,8020.7,6151.9,4939.0,1622.5,2870.1,481.7,254.6,452.9,24793.5,7592.8,5896.7,4813.4,1557.8,2761.5,468.2,257.4,431.4,23779.3,7592.2,5912.3,4843.1,1550.8,2769.7,467.3,256.2,427.8,23819.4
Dec-2014,9825.4,7645.5,6048.6,1968.1,3517.5,594.1,282.4,544.2,30425.9,7597.4,5904.0,4856.0,1551.9,2777.9,464.7,257.6,430.8,23840.4,7611.7,5926.9,4869.7,1556.6,2777.0,469.2,256.1,427.8,23894.9
Jan-2015,7663.1,5904.7,4937.5,1546.2,2751.1,480.2,229.7,412.0,23924.6,7627.8,5953.3,4915.6,1552.2,2777.2,472.3,253.1,420.1,23971.6,7628.8,5945.4,4899.4,1561.8,2783.6,471.5,255.9,427.7,23974.1
Feb-2015,6730.3,5283.1,4302.5,1383.7,2494.4,440.5,218.4,387.0,21239.9,7661.7,5990.8,4938.7,1572.5,2814.1,477.7,257.3,429.6,24142.4,7647.1,5967.0,4927.2,1566.9,2788.5,473.5,255.6,428.3,24054.1
Mar-2015,7455.4,5887.7,4807.2,1562.9,2723.4,480.2,242.0,425.4,23584.2,7662.0,5984.0,4970.4,1573.4,2785.3,477.4,255.5,427.4,24135.5,7670.5,5989.2,4948.7,1571.5,2791.6,474.7,255.6,429.7,24131.6
