,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Feb-1989,737.3,738.6,734.5,442.5,441.9,440.5,294.8,296.7,293.9,575.9,575.7,576.8,409.5,408.2,408.8,166.4,167.5,168.0,157.7,31.7,125.9,61.5,61.8,61.4,73.9,74.0,73.7,49.2,49.6,49.1,46.8,45.9,50.5,25.4,25.2,27.3,21.4,20.6,23.1,39.9,24.1,15.8,10.6,3.2,7.4,6.0,5.8,6.4,5.4,5.4,5.8,6.8,6.5,7.3,6.5,5.6,8.6,6.3,9.2,5.5,784.1,784.5,785.0,467.9,467.1,467.9,316.2,317.3,317.1,65.4,65.6,65.7,78.1,78.2,78.3,52.8,53.0,53.0,410.7,129.5,281.2,1195.7,597.4,598.3
Mar-1989,737.9,735.9,734.3,442.3,442.7,440.8,295.7,293.3,293.5,575.1,580.5,576.2,409.0,412.4,409.6,166.2,168.1,166.6,158.1,31.2,126.9,61.5,61.4,61.3,73.8,73.9,73.6,49.3,48.9,48.9,44.9,45.6,49.0,24.3,24.4,25.1,20.6,21.3,23.9,35.1,20.8,14.3,13.9,4.3,9.6,5.7,5.8,6.3,5.2,5.2,5.4,6.5,6.8,7.5,5.7,4.8,7.9,8.1,12.2,7.0,782.9,781.6,783.3,466.6,467.0,465.9,316.3,314.5,317.3,65.3,65.2,65.4,77.8,78.0,77.8,52.7,52.5,52.9,415.0,132.8,282.3,1198.3,598.7,599.6
Apr-1989,738.1,739.0,739.5,441.9,441.9,441.4,296.2,297.1,298.1,574.1,573.6,571.9,408.4,408.3,407.7,165.7,165.4,164.1,167.6,33.6,134.0,61.4,61.5,61.6,73.6,73.7,73.6,49.3,49.4,49.6,43.6,42.8,44.2,23.5,23.0,22.6,20.1,19.8,21.6,32.9,19.3,13.6,11.3,3.4,8.0,5.6,5.5,5.6,5.1,5.0,4.9,6.4,6.2,6.7,5.4,4.5,7.7,6.3,9.1,5.6,781.7,781.9,783.7,465.4,465.0,464.0,316.3,316.9,319.7,65.1,65.1,65.3,77.5,77.5,77.3,52.6,52.7,53.2,417.2,135.9,281.2,1200.8,599.9,600.9
May-1989,738.2,737.7,735.7,441.4,440.8,437.9,296.8,296.9,297.8,572.9,570.2,568.3,407.8,406.2,404.4,165.1,164.0,163.8,167.4,33.5,133.9,61.3,61.3,61.1,73.4,73.3,72.8,49.3,49.3,49.4,43.1,42.7,43.1,23.2,23.1,23.2,19.8,19.6,19.8,33.0,20.5,12.6,10.0,2.8,7.3,5.5,5.5,5.5,5.0,5.0,5.0,6.3,6.2,6.2,5.5,4.8,7.1,5.7,7.6,5.2,781.2,780.4,778.8,464.6,463.8,461.2,316.6,316.5,317.6,64.9,64.9,64.7,77.3,77.2,76.7,52.6,52.6,52.7,424.6,140.0,284.6,1203.4,601.1,602.2
Jun-1989,738.6,731.0,732.6,441.0,433.7,433.8,297.5,297.2,298.7,571.9,564.3,561.6,407.3,400.2,399.7,164.6,164.1,162.0,170.9,34.2,136.8,61.3,60.6,60.7,73.2,72.0,72.0,49.3,49.2,49.5,43.3,45.5,44.5,23.4,26.1,25.4,19.9,19.4,19.1,33.9,22.3,11.5,10.6,3.1,7.5,5.5,5.9,5.7,5.0,5.7,5.5,6.3,6.1,6.0,5.7,5.3,6.6,5.8,8.3,5.2,781.9,776.5,777.0,464.5,459.8,459.3,317.4,316.7,317.8,64.9,64.4,64.4,77.1,76.3,76.2,52.6,52.5,52.7,428.9,143.1,285.8,1205.9,602.4,603.5
Jul-1989,739.5,737.3,737.6,440.9,441.6,442.2,298.7,295.7,295.4,571.3,572.2,574.9,406.8,407.2,408.7,164.6,165.0,166.2,162.7,33.5,129.2,61.2,61.0,61.0,73.1,73.2,73.3,49.4,48.9,48.8,44.2,43.6,42.0,24.0,23.2,23.0,20.2,20.4,19.0,32.9,20.7,12.2,9.1,2.3,6.8,5.6,5.6,5.4,5.2,5.0,4.9,6.3,6.5,6.1,5.4,4.8,6.8,5.3,6.3,5.0,783.7,780.9,779.6,464.8,464.7,465.2,318.9,316.2,314.4,64.9,64.6,64.5,77.0,77.0,77.1,52.7,52.3,52.0,428.7,138.3,290.4,1208.3,603.5,604.8
Aug-1989,740.9,742.9,739.5,440.8,441.1,440.0,300.1,301.8,299.4,571.4,575.9,570.2,406.2,410.0,407.6,165.3,165.8,162.6,169.3,32.4,136.8,61.2,61.4,61.1,72.9,73.0,72.8,49.5,49.8,49.4,45.4,46.0,43.9,24.7,25.4,25.0,20.7,20.6,19.0,34.0,21.9,12.1,10.0,3.1,6.9,5.8,5.8,5.6,5.3,5.4,5.4,6.4,6.4,6.0,5.6,5.1,6.9,5.6,8.7,4.8,786.3,788.9,783.4,465.5,466.5,465.0,320.8,322.4,318.4,64.9,65.2,64.7,77.0,77.2,76.9,52.9,53.2,52.5,427.3,139.7,287.7,1210.7,604.7,606.1
Sep-1989,742.2,740.5,747.8,440.7,439.5,443.1,301.6,301.0,304.6,572.4,571.5,574.3,405.6,406.1,407.9,166.8,165.5,166.4,173.5,35.3,138.3,61.2,61.0,61.6,72.7,72.6,73.1,49.6,49.6,50.2,47.1,49.9,49.9,25.7,27.4,27.1,21.4,22.5,22.8,37.7,23.2,14.4,12.3,3.9,8.4,6.0,6.3,6.3,5.5,5.9,5.8,6.6,7.0,7.0,6.2,5.4,8.0,6.6,9.9,5.7,789.3,790.4,797.7,466.4,466.9,470.2,322.9,323.5,327.5,65.1,65.2,65.8,77.0,77.1,77.6,53.2,53.3,53.9,415.4,135.6,279.9,1213.2,605.8,607.4
Oct-1989,743.5,744.9,748.0,440.3,440.3,442.6,303.2,304.6,305.4,574.0,572.0,573.5,405.0,404.6,406.2,168.9,167.5,167.3,174.4,36.3,138.1,61.2,61.3,61.5,72.5,72.5,72.9,49.8,50.0,50.2,49.1,47.1,42.7,26.9,25.8,23.3,22.1,21.4,19.4,32.9,19.7,13.2,9.8,3.6,6.1,6.2,5.9,5.4,5.8,5.5,5.0,6.8,6.6,6.0,5.4,4.6,7.3,5.3,9.0,4.3,792.6,792.0,790.7,467.3,466.1,465.9,325.3,325.9,324.8,65.2,65.1,65.0,77.0,76.8,76.7,53.4,53.6,53.4,425.0,141.1,283.9,1215.7,607.0,608.7
Nov-1989,744.7,746.3,745.4,439.8,442.6,440.6,304.9,303.7,304.8,576.0,578.7,578.3,404.6,405.7,405.4,171.4,173.0,172.9,167.1,35.1,131.9,61.1,61.3,61.2,72.3,72.8,72.4,50.0,49.8,50.0,51.1,43.5,40.0,28.2,25.1,23.5,22.9,18.4,16.4,32.3,21.0,11.4,7.6,2.6,5.1,6.4,5.5,5.1,6.0,5.4,5.1,7.0,5.7,5.1,5.3,4.9,6.2,4.4,6.8,3.7,795.8,789.8,785.3,468.0,467.7,464.1,327.8,322.1,321.2,65.3,64.8,64.5,77.0,76.9,76.3,53.7,52.8,52.7,432.9,144.1,288.8,1218.2,608.2,610.0
Dec-1989,745.7,745.5,756.6,439.2,439.6,446.2,306.5,305.9,310.4,578.2,574.7,583.8,404.4,402.5,408.0,173.8,172.2,175.8,172.7,38.2,134.5,61.1,61.1,62.0,72.1,72.1,73.2,50.1,50.0,50.8,53.1,53.1,54.5,29.6,29.2,29.6,23.5,23.9,24.8,41.9,25.7,16.2,12.6,3.9,8.7,6.6,6.6,6.7,6.3,6.2,6.2,7.1,7.3,7.4,6.7,5.9,8.4,6.8,9.2,6.1,798.8,798.6,811.0,468.8,468.7,475.8,330.0,329.8,335.2,65.4,65.4,66.4,76.9,76.9,78.1,54.0,54.0,54.8,409.7,133.6,276.1,1220.7,609.4,611.3
Jan-1990,746.6,742.6,732.3,438.8,435.9,432.3,307.8,306.7,300.0,580.1,581.4,579.6,404.7,404.2,401.7,175.5,177.2,177.9,152.7,30.7,122.0,61.1,60.7,59.9,71.9,71.4,70.8,50.3,50.1,49.0,54.9,57.4,61.6,30.9,32.0,35.3,24.0,25.4,26.3,50.2,31.2,19.1,11.4,4.1,7.2,6.8,7.2,7.8,6.6,6.8,7.6,7.2,7.7,8.1,8.0,7.2,9.7,6.9,11.9,5.6,801.5,800.1,793.9,469.6,467.9,467.6,331.9,332.2,326.2,65.5,65.4,64.9,76.9,76.6,76.6,54.2,54.2,53.3,429.1,142.8,286.2,1222.9,610.5,612.5
Feb-1990,747.4,750.5,746.3,438.6,438.0,436.6,308.8,312.4,309.7,581.4,583.7,584.5,405.2,405.9,406.2,176.2,177.8,178.3,161.8,30.4,131.4,61.0,61.3,60.9,71.7,71.6,71.4,50.3,50.9,50.5,56.6,56.7,62.2,32.1,32.2,34.8,24.5,24.5,27.4,48.3,30.3,18.0,13.9,4.5,9.4,7.0,7.0,7.7,6.8,6.8,7.4,7.4,7.3,8.1,7.6,6.9,9.2,7.9,12.9,6.7,804.0,807.1,808.5,470.7,470.2,471.4,333.3,336.9,337.1,65.6,65.9,66.0,77.0,76.9,77.1,54.3,54.9,54.9,416.7,140.2,276.5,1225.2,611.6,613.6
Mar-1990,748.0,753.1,751.3,438.6,438.4,436.4,309.4,314.7,315.0,581.7,581.9,577.4,405.8,405.9,403.0,175.9,176.0,174.3,173.9,33.3,140.6,60.9,61.4,61.2,71.6,71.6,71.2,50.3,51.2,51.2,58.1,56.8,60.7,33.2,32.9,33.9,24.9,23.8,26.8,44.4,28.0,16.5,16.3,5.9,10.4,7.2,7.0,7.5,7.0,7.0,7.2,7.5,7.0,7.9,7.1,6.5,8.6,8.5,15.0,6.9,806.1,809.8,812.0,471.8,471.3,470.2,334.3,338.5,341.8,65.7,66.0,66.2,77.0,76.9,76.8,54.4,55.1,55.6,415.4,142.4,273.0,1227.4,612.6,614.8
Apr-1990,748.4,748.6,748.7,438.8,439.6,438.9,309.6,309.0,309.8,581.2,583.1,581.1,406.2,407.8,407.2,175.0,175.4,173.9,167.6,31.7,136.0,60.9,60.9,60.9,71.5,71.6,71.5,50.3,50.2,50.3,59.4,59.4,60.8,34.1,34.0,33.5,25.3,25.4,27.4,45.5,28.8,16.7,15.3,4.7,10.7,7.3,7.4,7.5,7.2,7.2,7.1,7.5,7.6,8.1,7.3,6.6,8.8,8.4,12.8,7.3,807.8,808.0,809.6,472.9,473.6,472.3,334.9,334.3,337.2,65.7,65.7,65.8,77.1,77.2,77.0,54.4,54.3,54.8,419.9,141.2,278.7,1229.4,613.6,615.9
May-1990,748.7,746.6,745.0,439.1,439.0,436.7,309.6,307.6,308.4,580.3,572.3,571.0,406.4,402.0,401.0,173.9,170.2,170.0,174.1,35.7,138.4,60.8,60.6,60.5,71.5,71.4,71.1,50.2,49.9,50.0,60.6,60.8,61.2,35.0,34.8,35.3,25.6,26.0,26.0,48.8,31.1,17.7,12.4,4.2,8.2,7.5,7.5,7.6,7.4,7.4,7.5,7.6,7.8,7.8,7.9,7.2,9.4,6.6,10.5,5.6,809.3,807.5,806.2,474.1,473.9,471.9,335.2,333.6,334.3,65.7,65.6,65.5,77.2,77.1,76.8,54.3,54.1,54.2,425.2,142.6,282.6,1231.4,614.5,616.9
Jun-1990,748.6,745.0,747.1,439.1,440.7,441.3,309.4,304.3,305.8,579.4,573.5,571.1,406.5,406.5,406.1,173.0,167.0,165.0,176.0,35.2,140.8,60.7,60.4,60.6,71.4,71.6,71.7,50.1,49.2,49.5,62.2,62.9,61.3,36.1,36.0,34.9,26.1,27.0,26.4,48.8,31.6,17.2,12.5,3.3,9.1,7.7,7.8,7.6,7.6,7.5,7.3,7.8,8.1,7.9,7.9,7.2,9.4,6.6,8.6,6.1,810.8,807.9,808.3,475.2,476.6,476.1,335.5,331.3,332.2,65.7,65.5,65.5,77.2,77.4,77.4,54.3,53.6,53.7,425.1,139.3,285.8,1233.5,615.4,618.0
Jul-1990,748.0,751.5,753.1,438.9,437.3,439.3,309.2,314.3,313.8,578.5,579.7,582.6,406.2,406.4,408.2,172.3,173.3,174.5,170.5,31.1,139.4,60.6,60.8,61.0,71.2,71.0,71.3,49.9,50.8,50.7,63.9,63.1,59.5,37.3,38.0,36.7,26.6,25.2,22.8,48.0,32.7,15.3,11.5,4.0,7.5,7.9,7.7,7.3,7.8,8.0,7.7,7.9,7.4,6.8,7.6,7.4,8.1,6.3,11.4,5.1,811.9,814.7,812.6,476.1,475.2,476.0,335.7,339.4,336.6,65.7,66.0,65.8,77.3,77.1,77.2,54.2,54.8,54.4,422.6,140.2,282.4,1235.1,616.2,619.0
Aug-1990,747.1,747.1,743.6,438.3,437.8,436.6,308.8,309.3,307.0,577.5,576.3,570.5,405.7,405.3,402.8,171.8,171.1,167.7,173.1,33.8,139.3,60.4,60.4,60.1,71.0,71.0,70.8,49.8,49.9,49.5,65.5,64.2,61.6,38.4,37.5,36.7,27.1,26.8,24.9,52.0,34.1,17.9,9.6,2.6,7.0,8.1,7.9,7.6,8.1,7.9,7.8,8.1,8.0,7.5,8.3,7.8,9.6,5.3,7.1,4.8,812.6,811.3,805.2,476.8,475.2,473.3,335.8,336.1,331.8,65.7,65.6,65.1,77.3,77.0,76.7,54.2,54.2,53.5,431.7,143.6,288.0,1236.8,616.9,619.9
Sep-1990,745.9,746.6,754.2,437.7,438.6,442.6,308.2,308.0,311.6,576.0,582.2,585.0,404.8,409.4,411.4,171.2,172.8,173.6,169.2,31.2,138.0,60.2,60.3,60.9,70.8,71.0,71.7,49.6,49.6,50.2,67.0,68.3,68.3,39.6,40.1,39.8,27.4,28.1,28.5,54.1,35.4,18.7,14.2,4.4,9.8,8.2,8.4,8.3,8.3,8.4,8.2,8.2,8.4,8.4,8.5,7.9,9.7,7.8,12.4,6.6,812.9,814.8,822.5,477.3,478.7,482.4,335.6,336.1,340.1,65.6,65.8,66.4,77.3,77.5,78.1,54.1,54.1,54.8,416.0,135.3,280.7,1238.5,617.7,620.8
Oct-1990,744.2,745.5,748.3,436.9,438.0,440.3,307.4,307.5,308.1,573.9,574.1,575.4,403.4,403.8,405.1,170.5,170.3,170.3,172.9,35.2,137.7,60.0,60.1,60.3,70.6,70.8,71.2,49.4,49.5,49.5,68.5,70.3,64.3,40.9,41.8,37.9,27.6,28.5,26.3,54.3,34.7,19.6,10.0,3.3,6.7,8.4,8.6,7.9,8.6,8.7,7.9,8.2,8.5,7.9,8.6,7.9,10.3,5.5,8.5,4.7,812.8,815.8,812.6,477.8,479.8,478.2,335.0,336.0,334.4,65.5,65.8,65.5,77.2,77.6,77.3,53.9,54.0,53.8,427.7,140.3,287.4,1240.3,618.5,621.8
Nov-1990,742.3,739.1,738.0,435.9,434.3,432.3,306.4,304.8,305.8,570.9,563.2,563.2,401.4,394.8,394.9,169.6,168.4,168.2,174.8,37.3,137.5,59.8,59.5,59.4,70.4,70.1,69.8,49.2,48.9,49.1,70.4,70.2,64.7,42.4,42.0,39.3,28.0,28.2,25.3,53.2,35.6,17.5,11.5,3.7,7.8,8.7,8.7,8.1,8.9,8.8,8.3,8.4,8.5,7.7,8.6,8.3,9.4,6.2,9.0,5.4,812.7,809.2,802.7,478.4,476.2,471.6,334.4,333.0,331.1,65.4,65.2,64.6,77.2,76.9,76.1,53.7,53.5,53.2,439.4,147.7,291.7,1242.1,619.3,622.8
Dec-1990,740.3,741.5,751.8,434.7,434.5,440.4,305.5,307.0,311.3,567.1,567.7,576.7,398.9,399.7,405.0,168.2,168.0,171.7,175.0,35.4,139.6,59.5,59.6,60.4,70.1,70.1,71.0,49.0,49.2,49.9,72.8,70.1,71.5,44.3,42.9,43.5,28.5,27.2,28.0,59.7,39.3,20.4,11.8,4.2,7.6,9.0,8.6,8.7,9.2,9.0,9.0,8.5,8.1,8.3,9.4,8.8,10.6,6.3,10.6,5.2,813.1,811.6,823.2,479.0,477.4,483.9,334.1,334.1,339.3,65.4,65.2,66.2,77.2,77.0,78.0,53.6,53.6,54.4,420.7,136.3,284.4,1243.9,620.2,623.8
Jan-1991,738.1,739.4,731.4,433.2,434.4,432.6,304.9,305.0,298.8,562.9,564.8,566.7,396.1,396.1,395.5,166.8,168.8,171.1,164.7,37.1,127.6,59.3,59.4,58.7,69.8,70.0,69.7,48.8,48.8,47.8,75.7,74.7,80.7,46.4,46.2,51.0,29.3,28.6,29.7,66.6,46.2,20.4,14.1,4.8,9.3,9.3,9.2,9.9,9.7,9.6,10.6,8.8,8.6,9.0,10.5,10.5,10.7,7.9,11.5,6.8,813.9,814.1,812.1,479.7,480.6,483.7,334.2,333.5,328.5,65.3,65.4,65.2,77.3,77.4,77.9,53.5,53.4,52.6,433.4,137.2,296.1,1245.5,620.9,624.6
Feb-1991,735.9,735.6,731.8,431.5,432.0,430.5,304.3,303.6,301.2,558.6,559.1,559.9,393.3,393.3,393.5,165.3,165.7,166.4,171.9,37.0,134.9,59.0,59.0,58.7,69.4,69.5,69.3,48.7,48.5,48.2,79.1,79.9,87.7,48.8,49.4,53.4,30.3,30.5,34.3,71.6,47.3,24.4,16.1,6.2,9.9,9.7,9.8,10.7,10.2,10.3,11.0,9.1,9.1,10.2,11.3,10.7,12.8,8.6,14.3,6.8,815.0,815.4,819.5,480.3,481.3,484.0,334.7,334.1,335.5,65.4,65.4,65.7,77.3,77.4,77.9,53.5,53.4,53.6,427.5,137.6,289.9,1247.0,621.6,625.4
Mar-1991,733.6,733.1,731.3,429.7,429.6,427.5,303.9,303.5,303.8,554.5,552.8,548.4,390.4,389.8,387.1,164.1,163.0,161.4,182.9,40.4,142.4,58.8,58.7,58.6,69.1,69.0,68.7,48.5,48.5,48.5,82.7,83.5,89.0,51.2,51.7,53.2,31.5,31.9,35.8,70.2,47.1,23.1,18.8,6.1,12.6,10.1,10.2,10.8,10.6,10.7,11.1,9.4,9.5,10.5,11.3,10.8,12.5,9.3,13.2,8.1,816.2,816.7,820.3,480.9,481.3,480.7,335.4,335.4,339.6,65.4,65.4,65.7,77.3,77.3,77.2,53.5,53.6,54.2,428.2,141.6,286.6,1248.5,622.3,626.2
Apr-1991,731.5,731.7,731.8,428.0,426.9,426.3,303.6,304.8,305.5,551.2,545.5,543.4,387.6,382.9,382.5,163.5,162.6,161.0,188.3,43.8,144.5,58.5,58.5,58.5,68.7,68.5,68.4,48.4,48.6,48.7,85.8,92.5,93.6,53.2,58.9,57.8,32.5,33.7,35.8,74.6,51.1,23.5,18.9,6.7,12.3,10.5,11.2,11.3,11.1,12.1,11.9,9.7,9.9,10.5,12.1,11.8,12.7,9.1,13.2,7.8,817.3,824.2,825.4,481.2,485.7,484.1,336.1,338.5,341.3,65.4,65.9,66.0,77.2,78.0,77.7,53.6,54.0,54.4,424.7,138.9,285.8,1250.1,623.0,627.1
May-1991,729.9,736.8,735.8,426.3,433.0,431.3,303.6,303.8,304.5,548.6,548.8,548.0,385.1,388.2,387.8,163.6,160.5,160.2,187.9,43.5,144.3,58.3,58.9,58.8,68.4,69.4,69.2,48.3,48.4,48.5,88.0,83.1,83.3,54.7,50.2,50.7,33.3,33.0,32.6,71.5,46.5,24.9,11.8,4.2,7.7,10.8,10.1,10.2,11.4,10.4,10.5,9.9,9.8,9.7,11.5,10.7,13.5,5.9,8.7,5.0,817.8,819.9,819.1,481.0,483.2,482.0,336.9,336.7,337.1,65.4,65.5,65.4,77.1,77.5,77.3,53.7,53.6,53.7,432.5,141.7,290.8,1251.7,623.7,627.9
Jun-1991,728.7,726.8,730.6,425.0,425.3,427.8,303.7,301.5,302.8,547.1,549.2,548.0,383.0,383.3,383.9,164.0,165.9,164.1,182.6,44.0,138.7,58.2,58.0,58.3,68.1,68.1,68.5,48.3,48.0,48.2,89.2,89.7,85.2,55.5,56.1,52.9,33.8,33.6,32.3,73.2,50.2,22.9,12.0,2.7,9.3,10.9,11.0,10.4,11.5,11.7,11.0,10.0,10.0,9.6,11.8,11.6,12.3,6.2,5.8,6.3,817.9,816.6,815.8,480.4,481.4,480.7,337.5,335.2,335.0,65.3,65.2,65.1,77.0,77.1,77.0,53.7,53.3,53.3,437.4,143.7,293.7,1253.2,624.4,628.8
Jul-1991,728.2,723.5,718.9,424.2,419.3,418.3,304.0,304.2,300.6,546.6,544.1,542.1,381.8,379.5,378.6,164.7,164.7,163.5,176.8,39.7,137.1,58.1,57.7,57.4,67.9,67.2,67.0,48.3,48.3,47.8,89.8,91.0,87.8,55.7,57.1,56.7,34.1,33.8,31.0,76.4,52.8,23.6,11.3,4.0,7.4,11.0,11.2,10.9,11.6,12.0,11.9,10.1,10.0,9.4,12.4,12.2,12.6,6.0,9.1,5.1,818.0,814.5,806.7,479.8,476.4,475.0,338.1,338.0,331.6,65.2,65.0,64.4,76.8,76.4,76.1,53.7,53.7,52.7,446.8,148.9,297.8,1253.4,624.0,629.5
Aug-1991,728.1,728.1,728.8,423.8,422.3,422.4,304.3,305.8,306.3,546.9,547.0,544.9,381.6,380.4,379.3,165.3,166.7,165.6,183.9,43.2,140.7,58.0,58.0,58.1,67.8,67.6,67.6,48.3,48.5,48.6,89.8,89.0,85.6,55.5,54.6,53.3,34.3,34.3,32.3,73.2,49.9,23.3,12.4,3.4,9.0,11.0,10.9,10.5,11.6,11.5,11.2,10.1,10.1,9.5,11.8,11.6,12.3,6.3,7.3,6.0,817.9,817.1,814.3,479.3,476.9,475.7,338.6,340.1,338.6,65.1,65.1,64.9,76.7,76.3,76.1,53.7,54.0,53.7,441.0,149.2,291.8,1255.3,624.9,630.4
Sep-1991,728.0,729.4,737.0,423.8,424.3,428.5,304.2,305.1,308.5,547.6,547.3,550.2,382.1,382.4,384.5,165.5,165.0,165.7,186.8,44.0,142.8,57.9,58.0,58.6,67.7,67.8,68.5,48.2,48.3,48.9,89.5,88.1,88.2,55.0,54.1,53.8,34.5,34.1,34.4,75.2,50.1,25.1,13.0,3.6,9.4,11.0,10.8,10.7,11.5,11.3,11.1,10.2,10.1,10.0,12.0,11.5,13.1,6.5,7.6,6.2,817.5,817.6,825.2,478.8,478.4,482.2,338.7,339.2,343.0,65.0,65.0,65.6,76.5,76.4,77.1,53.7,53.7,54.3,432.1,143.6,288.5,1257.3,625.8,631.4
Oct-1991,727.8,727.0,729.1,423.9,424.1,426.0,303.9,303.0,303.2,548.3,547.6,548.5,383.1,382.8,383.5,165.2,164.8,164.9,180.6,42.4,138.2,57.8,57.8,57.9,67.7,67.7,68.0,48.1,47.9,48.0,89.3,90.9,83.9,54.7,55.5,50.6,34.7,35.4,33.3,72.3,46.8,25.4,11.6,3.8,7.8,10.9,11.1,10.3,11.4,11.6,10.6,10.2,10.5,9.9,11.6,10.9,13.4,6.0,8.2,5.4,817.2,817.9,813.0,478.6,479.6,476.6,338.6,338.4,336.4,64.9,65.0,64.6,76.4,76.5,76.1,53.6,53.5,53.2,445.7,150.0,295.8,1258.8,626.6,632.2
Nov-1991,727.5,733.4,731.9,424.1,430.1,427.8,303.5,303.3,304.2,548.5,551.3,551.0,384.0,386.9,386.8,164.6,164.4,164.2,180.9,40.9,139.9,57.7,58.2,58.1,67.6,68.6,68.2,47.9,47.9,48.1,89.4,89.9,83.1,54.7,54.9,51.5,34.7,35.0,31.6,70.8,48.4,22.4,12.3,3.1,9.2,10.9,10.9,10.2,11.4,11.3,10.8,10.3,10.3,9.4,11.4,11.1,12.0,6.4,7.1,6.2,816.9,823.3,815.0,478.7,485.0,479.3,338.2,338.3,335.8,64.8,65.3,64.7,76.3,77.3,76.4,53.4,53.5,53.0,445.2,148.0,297.2,1260.3,627.3,632.9
Dec-1991,727.3,730.0,739.4,424.2,425.0,430.1,303.1,305.0,309.3,548.5,551.2,560.2,384.3,385.3,390.5,164.1,165.9,169.7,179.2,39.6,139.6,57.6,57.9,58.6,67.5,67.7,68.5,47.8,48.1,48.8,89.8,87.0,88.1,55.1,53.4,53.8,34.7,33.5,34.3,74.5,49.2,25.3,13.6,4.6,9.0,11.0,10.6,10.6,11.5,11.2,11.1,10.3,9.9,10.0,11.7,11.2,13.0,7.1,10.5,6.0,817.1,817.0,827.5,479.3,478.5,484.0,337.8,338.5,343.6,64.7,64.7,65.6,76.3,76.2,77.1,53.3,53.4,54.2,434.2,144.1,290.1,1261.8,628.1,633.7
Jan-1992,727.5,723.7,716.1,424.3,423.5,421.5,303.2,300.2,294.6,548.2,547.1,548.5,384.1,384.2,383.5,164.1,162.9,165.0,167.6,38.0,129.6,57.6,57.3,56.7,67.4,67.3,67.0,47.8,47.3,46.4,90.4,93.4,100.8,55.8,55.2,61.2,34.5,38.2,39.6,85.1,55.7,29.4,15.7,5.5,10.2,11.0,11.4,12.3,11.6,11.5,12.7,10.2,11.3,11.9,13.4,12.7,15.1,8.6,12.7,7.3,817.8,817.1,816.9,480.2,478.6,482.7,337.7,338.5,334.2,64.7,64.7,64.6,76.3,76.1,76.7,53.2,53.3,52.7,446.9,146.4,300.5,1263.8,629.1,634.7
